Order_ID,Customer_ID,Product_ID,Store_ID,Order_Date,Quantity,Discount,Payment_Method,Return_Flag
1,584,28,7,2024-05-11 16:12:01,1,0.2,PayPal,0
1,584,85,7,2024-05-11 16:12:01,5,0.0,PayPal,0
1,584,99,7,2024-05-11 16:12:01,20,0.0,PayPal,0
1,584,60,7,2024-05-11 16:12:01,1,0.0,PayPal,0
2,3343,45,3,2025-12-25 04:13:29,1,0.0,PayPal,0
2,3343,9,3,2025-12-25 04:13:29,1,0.05,PayPal,0
2,3343,86,3,2025-12-25 04:13:29,2,0.0,PayPal,0
3,1140,26,10,2024-06-22 06:48:59,1,0.0,PayPal,0
3,1140,89,10,2024-06-22 06:48:59,3,0.2,PayPal,0
3,1140,57,10,2024-06-22 06:48:59,1,0.0,PayPal,0
3,1140,23,10,2024-06-22 06:48:59,2,0.05,PayPal,0
3,1140,100,10,2024-06-22 06:48:59,3,0.0,PayPal,0
4,1861,77,7,2023-10-12 22:59:38,4,0.0,PayPal,0
4,1861,57,7,2023-10-12 22:59:38,3,0.1,PayPal,0
4,1861,67,7,2023-10-12 22:59:38,3,0.05,PayPal,0
5,1840,92,2,2023-07-19 11:28:53,20,0.1,Card,0
5,1840,6,2,2023-07-19 11:28:53,1,0.0,Card,0
6,1441,1,10,2025-11-21 10:12:39,1,,Cash,0
6,1441,83,10,2025-11-21 10:12:39,1,0.0,Cash,0
6,1441,17,10,2025-11-21 10:12:39,3,0.2,Cash,0
7,875,77,7,2024-09-09 00:22:28,3,0.0,PayPal,0
7,875,10,7,2024-09-09 00:22:28,2,0.2,PayPal,0
8,761,44,3,2025-07-15 08:42:30,3,0.0,Card,0
8,761,37,3,2025-07-15 08:42:30,20,0.1,Card,0
8,761,38,3,2025-07-15 08:42:30,3,0.05,Card,0
8,761,46,3,2025-07-15 08:42:30,5,0.0,Card,0
9,1040,6,9,2024-09-12 18:31:53,1,,PayPal,0
9,1040,75,9,2024-09-12 18:31:53,2,0.0,PayPal,0
9,1040,94,9,2024-09-12 18:31:53,3,0.0,PayPal,0
10,1253,55,8,2023-03-25 01:51:39,1,0.0,Card,0
10,1253,24,8,2023-03-25 01:51:39,4,0.1,Card,0
10,1253,61,8,2023-03-25 01:51:39,1,0.0,Card,0
10,1253,74,8,2023-03-25 01:51:39,1,0.0,Card,0
11,2296,99,10,2025-07-27 03:14:34,1,0.2,Cash,0
11,2296,1,10,2025-07-27 03:14:34,1,0.3,Cash,0
11,2296,41,10,2025-07-27 03:14:34,20,0.0,Cash,0
11,2296,68,10,2025-07-27 03:14:34,1,0.0,Cash,0
12,2678,66,4,2023-02-25 07:05:16,2,0.1,Cash,0
12,2678,96,4,2023-02-25 07:05:16,1,0.0,Cash,0
13,2744,53,1,2026-01-07 05:22:53,1,0.0,Cash,0
13,2744,37,1,2026-01-07 05:22:53,4,0.05,Cash,0
13,2744,2,1,2026-01-07 05:22:53,2,0.05,Cash,0
14,1136,65,5,2024-12-31 08:11:42,2,0.1,PayPal,0
14,1136,49,5,2024-12-31 08:11:42,1,0.1,PayPal,0
15,580,94,10,2024-12-26 06:43:00,3,0.1,PayPal,0
15,580,45,10,2024-12-26 06:43:00,10,0.0,PayPal,0
15,580,14,10,2024-12-26 06:43:00,2,0.0,PayPal,0
15,580,17,10,2024-12-26 06:43:00,5,0.3,PayPal,0
16,3152,2,9,2025-05-08 20:55:10,1,0.2,Card,0
16,3152,19,9,2025-05-08 20:55:10,1,0.0,Card,0
17,3295,83,6,2023-06-09 05:42:01,4,0.05,PayPal,1
17,3295,54,6,2023-06-09 05:42:01,2,0.0,PayPal,1
17,3295,93,6,2023-06-09 05:42:01,2,0.05,PayPal,1
17,3295,7,6,2023-06-09 05:42:01,1,0.0,PayPal,1
18,1215,52,9,2025-09-07 16:30:38,4,0.0,Cash,0
19,4689,76,8,2023-08-09 04:07:16,3,0.1,Card,0
19,4689,52,8,2023-08-09 04:07:16,1,0.0,Card,0
19,4689,2,8,2023-08-09 04:07:16,10,0.05,Card,0
20,2748,4,3,2024-05-08 20:37:26,1,,PayPal,0
20,2748,3,3,2024-05-08 20:37:26,2,0.0,PayPal,0
20,2748,82,3,2024-05-08 20:37:26,1,0.0,PayPal,0
20,2748,88,3,2024-05-08 20:37:26,1,0.0,PayPal,0
21,3343,76,2,2023-09-02 04:29:28,1,0.1,PayPal,0
21,3343,44,2,2023-09-02 04:29:28,20,0.0,PayPal,0
22,4361,97,6,2023-09-10 03:38:00,10,0.1,Cash,0
22,4361,14,6,2023-09-10 03:38:00,1,0.0,Cash,0
22,4361,6,6,2023-09-10 03:38:00,5,0.1,Cash,0
22,4361,63,6,2023-09-10 03:38:00,1,0.1,Cash,0
23,468,64,7,2024-07-05 15:40:25,1,0.0,Card,0
23,468,86,7,2024-07-05 15:40:25,2,0.0,Card,0
23,468,64,7,2024-07-05 15:40:25,2,0.05,Card,0
23,468,99,7,2024-07-05 15:40:25,1,0.1,Card,0
23,468,31,7,2024-07-05 15:40:25,1,0.3,Card,0
24,1834,13,2,2024-09-19 07:28:53,1,0.0,Card,0
24,1834,46,2,2024-09-19 07:28:53,10,0.2,Card,0
25,1706,45,5,2024-12-27 21:02:43,20,0.1,PayPal,0
25,1706,17,5,2024-12-27 21:02:43,1,0.1,PayPal,0
25,1706,72,5,2024-12-27 21:02:43,4,0.0,PayPal,0
25,1706,76,5,2024-12-27 21:02:43,5,,PayPal,0
25,1706,89,5,2024-12-27 21:02:43,2,0.1,PayPal,0
26,1976,59,4,2025-04-10 03:59:16,1,0.0,Card,0
26,1976,7,4,2025-04-10 03:59:16,2,0.0,Card,0
27,2334,3,7,2024-12-31 04:02:30,1,0.05,Card,0
27,2334,4,7,2024-12-31 04:02:30,1,0.0,Card,0
27,2334,69,7,2024-12-31 04:02:30,10,0.1,Card,0
28,265,22,7,2026-02-14 15:59:33,1,0.0,PayPal,0
28,265,78,7,2026-02-14 15:59:33,2,0.0,PayPal,0
29,2476,75,8,2023-05-12 04:18:07,2,0.1,Card,0
29,2476,10,8,2023-05-12 04:18:07,20,,Card,0
29,2476,70,8,2023-05-12 04:18:07,2,,Card,0
30,4185,11,1,2024-02-17 22:22:23,20,0.1,PayPal,0
30,4185,95,1,2024-02-17 22:22:23,4,0.0,PayPal,0
30,4185,85,1,2024-02-17 22:22:23,3,0.0,PayPal,0
30,4185,79,1,2024-02-17 22:22:23,1,0.0,PayPal,0
30,4185,68,1,2024-02-17 22:22:23,2,0.0,PayPal,0
31,3902,62,7,2025-03-11 17:53:30,2,0.05,Card,0
32,4868,27,2,2023-06-08 15:20:11,1,0.0,Card,0
32,4868,1,2,2023-06-08 15:20:11,4,0.0,Card,0
32,4868,23,2,2023-06-08 15:20:11,1,0.0,Card,0
32,4868,62,2,2023-06-08 15:20:11,4,0.0,Card,0
32,4868,75,2,2023-06-08 15:20:11,4,,Card,0
33,2881,2,5,2025-07-27 06:11:16,1,0.0,PayPal,0
33,2881,56,5,2025-07-27 06:11:16,1,0.0,PayPal,0
33,2881,38,5,2025-07-27 06:11:16,4,0.0,PayPal,0
33,2881,11,5,2025-07-27 06:11:16,1,0.2,PayPal,0
34,4447,49,5,2023-06-14 21:42:15,1,0.0,Cash,0
34,4447,56,5,2023-06-14 21:42:15,1,0.0,Cash,0
34,4447,28,5,2023-06-14 21:42:15,1,0.1,Cash,0
34,4447,88,5,2023-06-14 21:42:15,1,0.0,Cash,0
34,4447,26,5,2023-06-14 21:42:15,1,0.0,Cash,0
35,2679,14,1,2023-08-11 03:46:44,1,0.05,Cash,0
35,2679,40,1,2023-08-11 03:46:44,3,0.2,Cash,0
35,2679,15,1,2023-08-11 03:46:44,2,0.0,Cash,0
35,2679,42,1,2023-08-11 03:46:44,1,0.0,Cash,0
36,1682,95,7,2016-12-01 18:37:55,1,,Cash,0
36,1682,86,7,2016-12-01 18:37:55,2,0.0,Cash,0
36,1682,25,7,2016-12-01 18:37:55,1,0.3,Cash,0
37,2487,9,1,2024-06-04 02:53:34,2,0.0,Card,0
37,2487,50,1,2024-06-04 02:53:34,20,0.05,Card,0
37,2487,79,1,2024-06-04 02:53:34,1,0.0,Card,0
38,3850,76,9,2025-01-09 21:18:05,3,0.0,Card,0
38,3850,47,9,2025-01-09 21:18:05,1,0.05,Card,0
39,3394,16,1,2024-08-02 16:45:41,5,0.0,PayPal,0
39,3394,48,1,2024-08-02 16:45:41,1,0.1,PayPal,0
39,3394,70,1,2024-08-02 16:45:41,10,0.2,PayPal,0
40,3955,84,8,2025-12-09 00:41:30,1,0.0,Cash,0
40,3955,44,8,2025-12-09 00:41:30,1,0.0,Cash,0
40,3955,59,8,2025-12-09 00:41:30,3,0.0,Cash,0
40,3955,58,8,2025-12-09 00:41:30,1,0.3,Cash,0
41,1370,52,1,2023-08-06 09:56:34,2,0.05,Card,0
41,1370,38,1,2023-08-06 09:56:34,3,0.1,Card,0
41,1370,81,1,2023-08-06 09:56:34,1,0.0,Card,0
41,1370,34,1,2023-08-06 09:56:34,3,0.2,Card,0
