Order_Date,Order_Year,Order_Month,Order_Month_Name,Order_Year_Month,Order_Day,Order_Weekday,Order_Quarter
2016-02-29 14:19:14,2016,2,February,2016-02,29,Monday,1
2016-03-12 22:52:58,2016,3,March,2016-03,12,Saturday,1
2016-04-05 20:58:46,2016,4,April,2016-04,5,Tuesday,2
2016-04-11 14:43:19,2016,4,April,2016-04,11,Monday,2
2016-04-17 17:03:01,2016,4,April,2016-04,17,Sunday,2
2016-05-19 11:35:57,2016,5,May,2016-05,19,Thursday,2
2016-06-07 20:14:03,2016,6,June,2016-06,7,Tuesday,2
2016-07-03 00:47:35,2016,7,July,2016-07,3,Sunday,3
2016-07-26 21:13:29,2016,7,July,2016-07,26,Tuesday,3
2016-08-03 01:43:41,2016,8,August,2016-08,3,Wednesday,3
2016-10-02 18:44:55,2016,10,October,2016-10,2,Sunday,4
2016-10-03 21:32:46,2016,10,October,2016-10,3,Monday,4
2016-11-08 05:41:22,2016,11,November,2016-11,8,Tuesday,4
2016-11-18 15:10:49,2016,11,November,2016-11,18,Friday,4
2016-12-01 18:37:55,2016,12,December,2016-12,1,Thursday,4
2016-12-21 21:09:15,2016,12,December,2016-12,21,Wednesday,4
2017-01-04 10:49:59,2017,1,January,2017-01,4,Wednesday,1
2017-01-05 14:22:57,2017,1,January,2017-01,5,Thursday,1
2017-01-11 06:58:40,2017,1,January,2017-01,11,Wednesday,1
2017-02-13 14:55:15,2017,2,February,2017-02,13,Monday,1
2017-03-29 23:58:34,2017,3,March,2017-03,29,Wednesday,1
2017-05-11 08:14:15,2017,5,May,2017-05,11,Thursday,2
2017-05-12 03:07:38,2017,5,May,2017-05,12,Friday,2
2017-05-12 03:08:57,2017,5,May,2017-05,12,Friday,2
2017-05-29 00:23:25,2017,5,May,2017-05,29,Monday,2
2017-06-14 09:56:29,2017,6,June,2017-06,14,Wednesday,2
2017-07-01 04:46:28,2017,7,July,2017-07,1,Saturday,3
2017-08-01 04:56:48,2017,8,August,2017-08,1,Tuesday,3
2017-08-30 10:13:00,2017,8,August,2017-08,30,Wednesday,3
2017-09-06 08:47:27,2017,9,September,2017-09,6,Wednesday,3
2017-09-25 01:44:51,2017,9,September,2017-09,25,Monday,3
2017-10-05 09:19:17,2017,10,October,2017-10,5,Thursday,4
2017-10-10 10:04:48,2017,10,October,2017-10,10,Tuesday,4
2017-10-12 21:34:12,2017,10,October,2017-10,12,Thursday,4
2017-10-31 13:27:12,2017,10,October,2017-10,31,Tuesday,4
2017-11-04 21:23:45,2017,11,November,2017-11,4,Saturday,4
2017-11-13 11:51:04,2017,11,November,2017-11,13,Monday,4
2017-12-08 08:34:19,2017,12,December,2017-12,8,Friday,4
2018-01-04 20:53:28,2018,1,January,2018-01,4,Thursday,1
2018-01-07 00:20:14,2018,1,January,2018-01,7,Sunday,1
2018-01-24 01:02:35,2018,1,January,2018-01,24,Wednesday,1
2018-03-17 22:56:06,2018,3,March,2018-03,17,Saturday,1
2018-03-18 23:26:21,2018,3,March,2018-03,18,Sunday,1
2018-03-30 14:06:15,2018,3,March,2018-03,30,Friday,1
2018-04-20 22:02:58,2018,4,April,2018-04,20,Friday,2
2018-04-30 07:43:25,2018,4,April,2018-04,30,Monday,2
2018-06-23 02:35:31,2018,6,June,2018-06,23,Saturday,2
2018-06-29 11:42:54,2018,6,June,2018-06,29,Friday,2
2018-07-15 22:30:12,2018,7,July,2018-07,15,Sunday,3
2018-08-17 02:02:44,2018,8,August,2018-08,17,Friday,3
2018-09-17 18:44:44,2018,9,September,2018-09,17,Monday,3
2018-09-24 23:51:24,2018,9,September,2018-09,24,Monday,3
2018-10-03 15:46:49,2018,10,October,2018-10,3,Wednesday,4
2018-10-21 15:39:43,2018,10,October,2018-10,21,Sunday,4
2018-10-26 09:19:55,2018,10,October,2018-10,26,Friday,4
2018-11-15 18:31:44,2018,11,November,2018-11,15,Thursday,4
2019-01-01 12:28:26,2019,1,January,2019-01,1,Tuesday,1
2019-01-14 20:37:21,2019,1,January,2019-01,14,Monday,1
2019-01-16 21:19:38,2019,1,January,2019-01,16,Wednesday,1
2019-01-26 04:04:32,2019,1,January,2019-01,26,Saturday,1
2019-02-17 02:13:42,2019,2,February,2019-02,17,Sunday,1
2019-03-24 10:36:42,2019,3,March,2019-03,24,Sunday,1
2019-04-03 13:24:54,2019,4,April,2019-04,3,Wednesday,2
2019-05-15 04:12:54,2019,5,May,2019-05,15,Wednesday,2
2019-05-27 07:10:46,2019,5,May,2019-05,27,Monday,2
2019-05-29 10:58:12,2019,5,May,2019-05,29,Wednesday,2
2019-06-05 06:59:16,2019,6,June,2019-06,5,Wednesday,2
2019-06-06 20:09:47,2019,6,June,2019-06,6,Thursday,2
2019-07-14 13:06:42,2019,7,July,2019-07,14,Sunday,3
2019-07-24 23:10:27,2019,7,July,2019-07,24,Wednesday,3
