Order_ID,Customer_ID,Store_ID,Order_Date,Total_Items,Quantity,Total_Gross,Total_Net,Discount_Amount,Payment_Method
1,584,7,2024-05-11 16:12:01,4,27,478.65999999999997,475.31,3.35,PayPal
2,3343,3,2025-12-25 04:13:29,3,4,161.49,159.44,2.05,PayPal
3,1140,10,2024-06-22 06:48:59,5,10,314.77,286.42,28.35,PayPal
4,1861,7,2023-10-12 22:59:38,3,10,316.13,304.52,11.61,PayPal
5,1840,2,2023-07-19 11:28:53,2,21,9626.59,8672.369999999999,954.22,Card
6,1441,10,2025-11-21 10:12:39,3,5,284.11,276.27,7.84,Cash
7,875,7,2024-09-09 00:22:28,2,5,212.88,190.69,22.19,PayPal
8,761,3,2025-07-15 08:42:30,4,31,2125.78,1988.21,137.57,Card
9,1040,9,2024-09-12 18:31:53,3,6,224.64999999999998,224.65,0.0,PayPal
10,1253,8,2023-03-25 01:51:39,4,7,3366.54,3191.37,175.17,Card
11,2296,10,2025-07-27 03:14:34,4,23,1312.76,1292.53,20.23,Cash
12,2678,4,2023-02-25 07:05:16,2,3,138.77,126.9,11.87,Cash
13,2744,1,2026-01-07 05:22:53,3,7,455.84,438.34000000000003,17.5,Cash
14,1136,5,2024-12-31 08:11:42,2,3,373.75,336.38,37.37,PayPal
15,580,10,2024-12-26 06:43:00,4,20,711.56,684.6,26.96,PayPal
16,3152,9,2025-05-08 20:55:10,2,2,88.96000000000001,78.56,10.4,Card
17,3295,6,2023-06-09 05:42:01,4,9,2694.68,2656.71,37.97,PayPal
18,1215,9,2025-09-07 16:30:38,1,4,405.16,405.16,0.0,Cash
19,4689,8,2023-08-09 04:07:16,3,14,717.11,681.53,35.58,Card
20,2748,3,2024-05-08 20:37:26,4,5,1776.3000000000002,1776.3000000000002,0.0,PayPal
21,3343,2,2023-09-02 04:29:28,2,21,605.7400000000001,602.55,3.19,PayPal
22,4361,6,2023-09-10 03:38:00,4,17,585.84,532.92,52.919999999999995,Cash
23,468,7,2024-07-05 15:40:25,4,7,1595.11,1502.91,92.2,Card
24,1834,2,2024-09-19 07:28:53,2,11,1202.91,995.53,207.38,Card
25,1706,5,2024-12-27 21:02:43,5,32,1349.32,1248.11,101.21000000000001,PayPal
26,1976,4,2025-04-10 03:59:16,2,3,234.96,234.96,0.0,Card
27,2334,7,2024-12-31 04:02:30,3,12,264.96999999999997,245.17000000000002,19.799999999999997,Card
